               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042761,            0.028256,            0.016501,             0.68823,             0.83747,             0.79344,             0.42935,            0.044905,            0.033002,           0.0063707,            0.008845,            0.008845,            0.008845
                  37,            0.040893,            0.029476,             0.01423,             0.63864,             0.79692,             0.79149,             0.38536,            0.047757,            0.031511,            0.006643,            0.008812,            0.008812,            0.008812
                  38,             0.03942,            0.027936,            0.015771,              0.6655,             0.84628,             0.81785,              0.4054,            0.042129,            0.032673,           0.0072385,            0.008779,            0.008779,            0.008779
                  39,            0.041855,             0.02529,            0.014531,             0.54613,              0.7305,              0.7136,             0.37932,            0.045664,             0.03805,            0.008493,            0.008746,            0.008746,            0.008746
                  40,            0.043122,             0.02882,            0.017587,             0.64384,             0.64667,             0.76228,             0.38647,            0.047171,            0.034988,           0.0079964,            0.008713,            0.008713,            0.008713
                  41,            0.044358,            0.030964,            0.012159,             0.71727,             0.68722,             0.82348,             0.37203,            0.050114,            0.030704,           0.0071972,             0.00868,             0.00868,             0.00868
                  42,            0.043897,            0.029521,            0.016073,             0.63858,             0.70615,             0.75204,              0.3235,            0.047777,            0.031544,           0.0072825,            0.008647,            0.008647,            0.008647
                  43,            0.047083,            0.031146,            0.012136,             0.70341,             0.64276,             0.74905,               0.409,            0.043186,            0.031884,           0.0064646,            0.008614,            0.008614,            0.008614
                  44,            0.038013,            0.026081,             0.01798,              0.7516,              0.7769,             0.82318,             0.44709,            0.043645,            0.033188,           0.0072579,            0.008581,            0.008581,            0.008581
                  45,            0.042173,            0.028547,             0.01414,             0.74892,             0.72879,             0.82362,             0.43977,            0.043122,            0.033636,           0.0078922,            0.008548,            0.008548,            0.008548
                  46,             0.04001,            0.024641,             0.01641,             0.70307,             0.82608,             0.75812,             0.41956,            0.046596,            0.034849,            0.007412,            0.008515,            0.008515,            0.008515
                  47,            0.042119,            0.029519,            0.014665,             0.57315,             0.64601,             0.70668,             0.42949,            0.049972,            0.044596,            0.012399,            0.008482,            0.008482,            0.008482
                  48,            0.040996,            0.031745,            0.014457,             0.58034,             0.78061,             0.67764,              0.3902,            0.051037,            0.040969,            0.011532,            0.008449,            0.008449,            0.008449
                  49,            0.041757,            0.028749,             0.01636,              0.6234,             0.85739,             0.80543,             0.43238,            0.046596,            0.033059,           0.0079525,            0.008416,            0.008416,            0.008416
                  50,            0.039819,            0.027294,            0.019891,             0.63842,             0.81317,              0.8282,              0.4346,            0.044729,             0.03575,           0.0079536,            0.008383,            0.008383,            0.008383
                  51,            0.041185,            0.029584,            0.014385,             0.56667,             0.79086,             0.82831,             0.45898,            0.046247,            0.032946,           0.0081845,             0.00835,             0.00835,             0.00835
