               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043745,              0.0439,            0.034483,             0.86988,             0.43265,              0.6192,             0.31514,             0.03945,            0.025515,             0.02292,              0.0013,              0.0013,              0.0883
                   1,            0.040055,            0.036969,            0.029807,              0.6161,             0.61134,             0.60546,             0.30873,            0.041434,             0.02557,            0.021913,           0.0026866,           0.0026866,            0.075687
                   2,            0.040421,            0.035383,            0.031542,               0.774,             0.44288,             0.64004,              0.3503,            0.042129,            0.029016,            0.023425,           0.0040594,           0.0040594,            0.063059
                   3,            0.041508,            0.036466,            0.028466,             0.77745,             0.44039,             0.60943,              0.2695,            0.043016,             0.02726,            0.018172,           0.0054183,           0.0054183,            0.050418
                   4,            0.048891,            0.035815,            0.025675,             0.45601,             0.31232,             0.30696,             0.15706,            0.082058,            0.041964,            0.035314,           0.0067634,           0.0067634,            0.037763
                   5,               0.049,            0.035538,            0.026059,             0.67116,             0.57817,             0.72218,             0.33871,             0.04563,            0.027886,            0.014886,           0.0080946,           0.0080946,            0.025095
                   6,            0.056616,             0.03176,            0.024231,             0.44838,             0.45967,             0.33302,             0.14162,            0.072354,            0.036725,            0.014304,           0.0094119,           0.0094119,            0.012412
                   7,            0.058888,            0.037126,            0.022213,             0.52088,             0.56956,              0.6401,             0.26525,            0.052196,            0.066825,            0.012516,           0.0096535,           0.0096535,           0.0096535
                   8,            0.056588,            0.035684,            0.021651,             0.57115,             0.52745,             0.63784,             0.24522,             0.05791,            0.026676,            0.011248,           0.0096535,           0.0096535,           0.0096535
                   9,            0.053543,            0.035347,            0.018999,             0.47593,             0.58645,             0.49596,             0.23452,              0.0632,            0.035881,            0.016361,            0.009604,            0.009604,            0.009604
                  10,            0.055663,              0.0356,             0.02011,             0.63716,             0.48217,             0.58704,             0.25531,            0.054255,            0.032143,            0.013699,           0.0095545,           0.0095545,           0.0095545
                  11,            0.051814,            0.037342,            0.018139,             0.62373,             0.28794,             0.30912,             0.13827,            0.075084,            0.044748,            0.028797,            0.009505,            0.009505,            0.009505
                  12,            0.051078,            0.035668,            0.017526,             0.67195,             0.52003,             0.65006,             0.30455,            0.053239,            0.030244,            0.012018,           0.0094555,           0.0094555,           0.0094555
                  13,            0.050199,            0.034919,             0.01741,              0.6452,             0.47535,              0.4858,             0.21159,            0.061079,            0.032842,            0.014247,            0.009406,            0.009406,            0.009406
                  14,            0.054974,            0.033781,            0.018509,             0.53112,             0.13916,             0.23584,            0.067811,            0.096357,            0.063788,            0.042671,           0.0093565,           0.0093565,           0.0093565
                  15,            0.050036,            0.035892,            0.017948,             0.64679,             0.52965,             0.66223,             0.35001,             0.04747,             0.14334,             0.01211,            0.009307,            0.009307,            0.009307
                  16,            0.050574,            0.036052,            0.017963,             0.70797,             0.47102,             0.50562,              0.2423,            0.055081,            0.059895,             0.01415,           0.0092575,           0.0092575,           0.0092575
                  17,            0.047425,            0.036862,            0.017449,             0.77085,             0.45225,             0.57392,             0.25593,             0.05834,             0.04255,            0.015438,            0.009208,            0.009208,            0.009208
                  18,            0.047981,             0.03706,            0.016655,             0.78573,             0.47423,             0.64548,             0.29771,             0.05423,            0.037629,            0.013348,           0.0091585,           0.0091585,           0.0091585
