               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11053,             0.04525,            0.069557,          2.9762e-05,            0.071429,          2.5361e-05,          2.5361e-06,             0.10392,            0.053942,            0.068113,              0.0008,              0.0008,              0.0928
                   1,             0.10907,            0.049506,            0.069121,          2.9762e-05,            0.071429,          3.7528e-05,          3.7528e-06,             0.10393,             0.05386,            0.068126,           0.0016832,           0.0016832,            0.084683
                   2,             0.10592,            0.045602,            0.068709,          2.9762e-05,            0.071429,          2.7336e-05,          2.7336e-06,             0.10408,            0.053623,            0.068163,           0.0025485,           0.0025485,            0.076549
                   3,             0.10443,            0.046187,            0.067947,          2.9762e-05,            0.071429,          6.1446e-05,          6.1446e-06,             0.10464,            0.053008,             0.06828,            0.003396,            0.003396,            0.068396
                   4,             0.10072,            0.049231,             0.06731,          2.9762e-05,            0.071429,          0.00021256,          2.1256e-05,             0.10593,            0.051571,            0.068574,           0.0042258,           0.0042258,            0.060226
                   5,            0.099275,            0.051865,             0.06613,           0.0002401,            0.071429,          0.00018683,          1.8683e-05,             0.10831,            0.048915,            0.069431,           0.0050376,           0.0050376,            0.052038
                   6,            0.096989,            0.055807,            0.064847,                   0,                   0,                   0,                   0,             0.11015,            0.046402,              0.0707,           0.0058317,           0.0058317,            0.043832
                   7,            0.094617,            0.053465,            0.063199,                   0,                   0,                   0,                   0,             0.10809,            0.046896,            0.071654,            0.006608,            0.006608,            0.035608
                   8,             0.09229,             0.05193,            0.061783,          0.00050391,           0.0079365,          0.00028749,          5.7498e-05,             0.10291,            0.050284,             0.07057,           0.0073664,           0.0073664,            0.027366
                   9,             0.09086,            0.048327,            0.059889,            0.024343,            0.047619,            0.016353,           0.0032601,             0.10143,            0.051273,            0.069815,            0.008107,            0.008107,            0.019107
                  10,            0.090196,            0.050679,            0.056452,           0.0030663,             0.18651,             0.09751,            0.032183,            0.094023,            0.055136,            0.060771,           0.0088298,           0.0088298,             0.01083
                  11,            0.088811,            0.048548,            0.055119,           0.0010957,             0.18254,            0.061423,            0.028652,            0.095459,            0.059669,            0.054204,            0.008911,            0.008911,            0.008911
                  12,            0.088609,            0.048879,            0.052309,            0.001952,             0.21769,            0.039895,           0.0099897,             0.09595,            0.055278,            0.055003,            0.008911,            0.008911,            0.008911
                  13,            0.089482,            0.049186,            0.050768,          0.00096113,             0.17347,            0.026744,           0.0084356,             0.10355,            0.056039,            0.053318,            0.008812,            0.008812,            0.008812
                  14,            0.085946,            0.049498,            0.048098,           0.0025438,              0.2534,            0.046054,           0.0072898,            0.096182,            0.050964,            0.063916,            0.008713,            0.008713,            0.008713
                  15,            0.087288,            0.047645,            0.049717,            0.016275,             0.28889,            0.095836,            0.027309,             0.10315,            0.049191,              0.0791,            0.008614,            0.008614,            0.008614
                  16,             0.08478,            0.050764,            0.047148,           0.0042073,              0.3755,            0.018547,           0.0043216,            0.096952,            0.049563,            0.054733,            0.008515,            0.008515,            0.008515
