               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042656,            0.035823,            0.019513,             0.81194,             0.67112,             0.72038,             0.38633,            0.041795,            0.035318,            0.010452,              0.0008,              0.0008,              0.0928
                   1,            0.045124,               0.039,            0.019976,             0.74703,             0.66968,             0.70165,             0.38654,            0.042758,            0.034299,            0.010181,           0.0016916,           0.0016916,            0.084692
                   2,             0.04434,             0.03359,            0.021026,             0.73658,             0.65607,             0.71457,             0.37182,            0.043931,            0.034999,            0.010132,           0.0025743,           0.0025743,            0.076574
                   3,            0.045462,            0.033273,            0.019049,             0.73218,             0.69424,             0.70825,             0.34464,            0.050043,            0.034407,            0.010125,            0.003448,            0.003448,            0.068448
                   4,            0.045774,            0.035452,            0.018339,             0.71527,             0.68747,             0.72945,             0.35022,            0.046705,            0.034302,            0.011027,           0.0043129,           0.0043129,            0.060313
                   5,            0.050546,            0.035415,            0.021419,             0.53065,             0.56131,             0.43615,             0.17544,            0.056131,            0.035183,            0.010732,           0.0051688,           0.0051688,            0.052169
                   6,            0.062475,            0.036833,            0.018481,             0.51354,             0.62576,             0.50813,             0.22309,            0.063896,            0.035398,            0.011061,           0.0060159,           0.0060159,            0.044016
                   7,            0.059031,            0.035119,            0.019114,             0.61002,             0.64189,             0.57184,             0.21017,            0.064673,            0.034919,            0.012035,            0.006854,            0.006854,            0.035854
                   8,            0.060593,            0.034611,            0.021799,             0.67579,             0.56292,             0.63704,             0.26641,            0.058475,            0.037132,            0.012738,           0.0076832,           0.0076832,            0.027683
                   9,            0.063513,            0.031123,            0.022527,             0.42914,             0.56276,             0.45125,             0.19438,            0.079644,            0.030719,             0.01156,           0.0085035,           0.0085035,            0.019504
                  10,             0.06235,            0.032701,            0.018754,              0.6731,             0.27599,             0.30121,             0.13437,            0.085731,            0.045603,            0.034676,           0.0093149,           0.0093149,            0.011315
                  11,            0.061302,             0.03295,            0.022056,             0.53564,             0.44085,             0.44589,              0.1711,            0.068729,            0.048882,            0.018629,           0.0094555,           0.0094555,           0.0094555
                  12,            0.063422,            0.033557,            0.022674,             0.59595,             0.31973,             0.21815,            0.080036,            0.076366,             0.05892,            0.030142,           0.0094555,           0.0094555,           0.0094555
                  13,             0.06326,            0.034968,            0.020078,             0.69632,             0.53772,             0.50153,             0.20915,            0.057781,            0.052073,            0.018296,            0.009406,            0.009406,            0.009406
                  14,            0.058081,             0.03433,            0.021683,             0.63826,              0.3918,             0.46227,             0.21069,            0.066728,            0.048449,            0.018082,           0.0093565,           0.0093565,           0.0093565
                  15,            0.064787,            0.034018,            0.019656,             0.48036,              0.6983,             0.59118,             0.24581,            0.057815,            0.036752,            0.012385,            0.009307,            0.009307,            0.009307
                  16,            0.060398,            0.036661,            0.020865,             0.49503,             0.63875,             0.56747,             0.24415,            0.060096,            0.036837,            0.013611,           0.0092575,           0.0092575,           0.0092575
                  17,              0.0576,            0.036043,            0.020492,             0.43323,             0.61676,             0.49093,             0.20853,            0.059183,            0.043687,            0.015183,            0.009208,            0.009208,            0.009208
                  18,            0.056694,            0.034035,            0.022269,             0.42575,             0.46026,             0.38518,             0.18623,            0.068577,            0.051035,            0.020199,           0.0091585,           0.0091585,           0.0091585
                  19,            0.055587,            0.036024,            0.018421,             0.58314,             0.63323,             0.57856,             0.27844,            0.057562,             0.03764,            0.013046,            0.009109,            0.009109,            0.009109
                  20,            0.055612,            0.035489,            0.019777,             0.54575,             0.74287,             0.59268,             0.26205,            0.055288,            0.037427,            0.011787,           0.0090595,           0.0090595,           0.0090595
                  21,            0.055181,            0.034641,            0.019267,             0.56992,             0.36508,             0.35398,             0.15784,            0.087062,            0.049634,             0.02798,             0.00901,             0.00901,             0.00901
                  22,             0.05402,            0.036266,            0.019055,             0.63203,             0.34589,             0.35725,             0.17488,            0.088323,            0.053939,             0.05862,           0.0089605,           0.0089605,           0.0089605
