               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030633,            0.028351,            0.013448,             0.72195,             0.82357,             0.84738,             0.52317,             0.03601,            0.032481,             0.00604,              0.0008,              0.0008,              0.0928
                   1,            0.031846,            0.029846,             0.01338,             0.61861,             0.83833,             0.84011,             0.51411,            0.036807,            0.032059,           0.0064799,           0.0016944,           0.0016944,            0.084694
                   2,            0.031993,            0.025811,            0.015184,             0.59335,             0.84557,             0.77803,             0.45852,            0.039439,             0.03369,           0.0071884,           0.0025828,           0.0025828,            0.076583
                   3,            0.031377,            0.025681,            0.013433,             0.73172,             0.68586,             0.83673,              0.4968,            0.039243,            0.034169,           0.0078687,           0.0034654,           0.0034654,            0.068465
                   4,            0.032004,            0.027302,            0.012679,             0.75624,             0.78135,             0.87509,             0.54108,              0.0389,            0.031036,           0.0064284,           0.0043419,           0.0043419,            0.060342
                   5,            0.033817,            0.027993,             0.01576,             0.66454,             0.76775,             0.82867,             0.43026,            0.044468,            0.031526,           0.0061218,           0.0052126,           0.0052126,            0.052213
                   6,            0.041643,            0.030913,            0.012376,             0.53486,             0.84109,              0.7718,             0.39466,            0.045611,            0.031812,           0.0063485,           0.0060772,           0.0060772,            0.044077
                   7,            0.041108,            0.027677,             0.01299,             0.74675,             0.80782,             0.77981,             0.42829,            0.040019,             0.03082,           0.0053098,            0.006936,            0.006936,            0.035936
                   8,            0.040819,            0.028869,            0.014786,             0.71199,             0.83178,             0.77972,             0.39922,             0.04547,            0.033646,           0.0056678,           0.0077888,           0.0077888,            0.027789
                   9,            0.046171,            0.025803,             0.01603,             0.45115,             0.74262,             0.68199,             0.25759,            0.060935,            0.032234,           0.0072992,           0.0086357,           0.0086357,            0.019636
                  10,            0.047745,            0.027087,            0.012543,             0.51376,             0.86459,             0.71954,             0.35925,             0.05151,            0.031791,           0.0068863,           0.0094766,           0.0094766,            0.011477
                  11,            0.047063,            0.026259,            0.015811,              0.6065,             0.87384,              0.8096,               0.376,            0.047234,            0.031069,           0.0065213,            0.009637,            0.009637,            0.009637
                  12,            0.045456,            0.027553,            0.016753,             0.75929,              0.6239,             0.68382,             0.27032,            0.050514,            0.034088,           0.0074981,            0.009637,            0.009637,            0.009637
                  13,             0.04415,            0.028781,            0.014546,             0.47979,             0.78239,             0.73717,             0.33633,            0.047377,            0.030073,           0.0067841,            0.009604,            0.009604,            0.009604
                  14,            0.041268,            0.028029,            0.016337,             0.58486,             0.81775,             0.81298,             0.39633,            0.046879,            0.034085,           0.0082697,            0.009571,            0.009571,            0.009571
                  15,            0.045569,            0.028347,            0.013955,             0.74546,             0.64296,             0.73603,             0.32295,            0.050103,            0.039097,            0.007619,            0.009538,            0.009538,            0.009538
                  16,            0.047326,             0.02974,            0.014537,             0.72771,             0.59034,             0.65566,             0.27764,            0.055284,            0.036706,           0.0083523,            0.009505,            0.009505,            0.009505
                  17,            0.046968,            0.028951,            0.014212,             0.51592,             0.77121,             0.65817,             0.30629,            0.052153,            0.040816,           0.0083105,            0.009472,            0.009472,            0.009472
