               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10823,            0.043852,            0.068267,          0.00017857,             0.02381,          0.00010571,          2.3522e-05,                 0.1,            0.055263,              0.0665,              0.0008,              0.0008,              0.0928
                   1,             0.10887,            0.049102,            0.068691,          0.00017857,             0.02381,          0.00010463,          2.3364e-05,             0.10002,            0.055251,            0.066526,           0.0016916,           0.0016916,            0.084692
                   2,             0.10426,            0.044144,            0.067058,          0.00017857,             0.02381,          0.00010644,          2.0167e-05,            0.099952,            0.055247,            0.066531,           0.0025743,           0.0025743,            0.076574
                   3,             0.10388,            0.048237,            0.066642,          0.00026786,            0.035714,          0.00017211,          3.1718e-05,            0.099735,            0.055318,            0.066532,            0.003448,            0.003448,            0.068448
                   4,               0.102,            0.046663,            0.066152,          0.00029762,            0.039683,          0.00019599,          3.3168e-05,            0.099313,            0.055502,            0.066503,           0.0043129,           0.0043129,            0.060313
                   5,             0.10123,            0.047605,            0.065863,          0.00029762,            0.039683,          0.00019828,          3.7464e-05,            0.098788,            0.055735,            0.066412,           0.0051688,           0.0051688,            0.052169
                   6,            0.099978,            0.051267,            0.065451,          0.00032738,            0.043651,          0.00022469,          5.1866e-05,            0.098064,            0.056049,             0.06629,           0.0060159,           0.0060159,            0.044016
                   7,            0.099272,            0.052811,            0.065339,          0.00032738,            0.043651,          0.00022226,          5.9559e-05,             0.09706,            0.056506,            0.066095,            0.006854,            0.006854,            0.035854
                   8,            0.098236,            0.051634,             0.06503,          0.00035714,            0.047619,            0.000241,          7.5627e-05,            0.095775,            0.057143,            0.065782,           0.0076832,           0.0076832,            0.027683
                   9,            0.096949,            0.046329,            0.064205,          0.00035714,            0.047619,          0.00024302,          7.5117e-05,            0.095063,             0.05747,            0.065484,           0.0085035,           0.0085035,            0.019504
                  10,            0.095527,            0.045254,            0.062806,          0.00035714,            0.047619,          0.00025508,          7.2253e-05,            0.094638,            0.057689,            0.064998,           0.0093149,           0.0093149,            0.011315
                  11,            0.096585,            0.047588,            0.062525,          0.00035714,            0.047619,          0.00023854,          8.5759e-05,            0.093819,            0.058156,            0.064129,           0.0094555,           0.0094555,           0.0094555
                  12,            0.096054,            0.046448,            0.061702,          0.00035714,            0.047619,          0.00026719,          8.3358e-05,            0.093313,            0.058497,            0.063569,           0.0094555,           0.0094555,           0.0094555
                  13,            0.094096,            0.050059,             0.06058,          0.00029762,            0.039683,          0.00020289,          6.3433e-05,            0.092808,             0.05884,            0.062976,            0.009406,            0.009406,            0.009406
                  14,            0.093362,            0.047845,            0.058855,             0.14319,            0.079365,            0.089531,            0.017946,            0.092148,            0.059146,            0.062259,           0.0093565,           0.0093565,           0.0093565
                  15,            0.094957,            0.047625,            0.058863,           0.0036276,             0.15079,            0.060886,            0.028398,            0.091136,             0.05932,            0.060954,            0.009307,            0.009307,            0.009307
                  16,            0.091179,            0.049827,            0.056254,            0.032145,             0.11508,            0.079094,            0.035734,            0.091268,            0.059641,            0.061302,           0.0092575,           0.0092575,           0.0092575
